Designator,Mid X,Mid Y,Rotation,Layer
F1,106.107141,-39.75,90.0,top
F2,93.471427,-39.75,90.0,top
F3,80.835713,-39.75,90.0,top
F4,68.199999,-39.75,90.0,top
F5,55.564285,-39.75,90.0,top
F6,42.928571,-39.75,90.0,top
F7,30.292857,-39.75,90.0,top
J1,101.907141,-22.75,180.0,top
J2,89.271427,-22.75,180.0,top
J3,76.635713,-22.75,180.0,top
J4,63.999999,-22.75,180.0,top
J5,51.364285,-22.75,180.0,top
J6,38.728571,-22.75,180.0,top
J7,26.092857,-22.75,180.0,top
J9,77.338095,-68.17,0.0,top
LED1,101.007141,-32.55,0.0,top
LED2,88.371427,-32.55,0.0,top
LED3,75.735713,-32.55,0.0,top
LED4,63.099999,-32.55,0.0,top
LED5,50.464285,-32.55,0.0,top
LED6,37.828571,-32.55,0.0,top
LED7,25.192857,-32.55,0.0,top
R1,104.207141,-32.55,0.0,top
R2,91.571427,-32.55,0.0,top
R3,78.935713,-32.55,0.0,top
R4,66.299999,-32.55,0.0,top
R5,53.664285,-32.55,0.0,top
R6,41.028571,-32.55,0.0,top
R7,28.392857,-32.55,0.0,top
U1,37.2,-64.6,270.0,top
